time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-15 00:00:00+00:00,948,11,131,29
2025-04-16 00:00:00+00:00,234,10,75,11
2025-04-17 00:00:00+00:00,11,7,75,15
2025-04-18 00:00:00+00:00,509,16,43,15
2025-04-19 00:00:00+00:00,17,8,32,6
2025-04-20 00:00:00+00:00,11,10,24,6
2025-04-21 00:00:00+00:00,584,11,39,10
2025-04-22 00:00:00+00:00,42,11,62,21
2025-04-23 00:00:00+00:00,487,16,157,25
2025-04-24 00:00:00+00:00,460,15,81,19
2025-04-25 00:00:00+00:00,2806,36,149,59
2025-04-26 00:00:00+00:00,64,9,15,10
2025-04-27 00:00:00+00:00,126,12,44,14
2025-04-28 00:00:00+00:00,244,10,63,18
