time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,189,47,72,31
2026-06-13 00:00:00+00:00,92,50,38,34
2026-06-14 00:00:00+00:00,72,35,10,9
2026-06-15 00:00:00+00:00,287,32,16,11
2026-06-16 00:00:00+00:00,83,32,4,4
2026-06-17 00:00:00+00:00,57,33,13,8
2026-06-18 00:00:00+00:00,173,31,6,6
2026-06-19 00:00:00+00:00,391,38,5,5
2026-06-20 00:00:00+00:00,75,35,5,4
2026-06-21 00:00:00+00:00,100,26,5,4
2026-06-22 00:00:00+00:00,1223,93,17,12
2026-06-23 00:00:00+00:00,1312,92,15,7
2026-06-24 00:00:00+00:00,556,67,19,16
2026-06-25 00:00:00+00:00,1161,89,20,14
