referrer,views_total,views_unique
Google,244,39
seissol.org,98,36
github.com,73,15
seissol.readthedocs.io,55,13
Bing,19,9
deref-gmx.net,14,1
DuckDuckGo,10,5
cn.bing.com,9,6
chatgpt.com,7,3
hpcadvisorycouncil.atlassian.net,4,3
