url_path,views_total,views_unique
/SeisSol/SeisSol,97,65
/SeisSol/SeisSol/blob/master/src/DynamicRupture/FrictionLaws/CpuImpl/LinearSlipWeakening.cpp,14,1
/SeisSol/SeisSol/pull/1514,14,1
/SeisSol/SeisSol/pulls,12,5
/SeisSol/SeisSol/issues,7,6
/SeisSol/SeisSol/issues/1485,7,3
/SeisSol/SeisSol/tree/master/preprocessing/meshing/gmsh_example,6,6
/SeisSol/SeisSol/blob/master/postprocessing/visualization/receiver/bin/viewrec,6,4
/SeisSol/SeisSol/tree/master/external,6,2
/SeisSol/SeisSol/tree/master/preprocessing/science/rconv,6,2
