time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-21 00:00:00+00:00,3,3,96,10
2024-09-22 00:00:00+00:00,3,3,23,10
2024-09-23 00:00:00+00:00,302,8,73,12
2024-09-24 00:00:00+00:00,6,3,31,12
2024-09-25 00:00:00+00:00,64,6,227,16
2024-09-26 00:00:00+00:00,184,2,30,13
2024-09-27 00:00:00+00:00,1611,5,41,14
2024-09-28 00:00:00+00:00,294,3,22,6
2024-09-29 00:00:00+00:00,42,6,82,11
2024-09-30 00:00:00+00:00,547,5,61,12
2024-10-01 00:00:00+00:00,65,5,89,22
2024-10-02 00:00:00+00:00,1010,9,95,37
2024-10-03 00:00:00+00:00,1099,7,132,16
2024-10-04 00:00:00+00:00,1339,11,95,19
