referrer,views_total,views_unique
Google,231,40
seissol.org,98,36
Bing,89,14
github.com,86,20
seissol.readthedocs.io,49,11
hpcadvisorycouncil.atlassian.net,20,3
cn.bing.com,11,7
deref-gmx.net,10,1
chatgpt.com,6,3
DuckDuckGo,5,3
