time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-24 00:00:00+00:00,1313,8,72,21
2025-03-25 00:00:00+00:00,747,16,95,20
2025-03-26 00:00:00+00:00,122,8,135,21
2025-03-27 00:00:00+00:00,486,11,103,21
2025-03-28 00:00:00+00:00,1471,17,100,19
2025-03-29 00:00:00+00:00,1224,14,56,10
2025-03-30 00:00:00+00:00,140,11,59,27
2025-03-31 00:00:00+00:00,297,16,173,20
2025-04-01 00:00:00+00:00,134,15,179,36
2025-04-02 00:00:00+00:00,2808,32,273,27
2025-04-03 00:00:00+00:00,869,14,98,16
2025-04-04 00:00:00+00:00,156,21,62,21
2025-04-05 00:00:00+00:00,20,12,30,11
2025-04-06 00:00:00+00:00,7,6,22,6
