referrer,views_total,views_unique
github.com,146,22
Google,114,22
seissol.org,104,17
seissol.readthedocs.io,61,7
cn.bing.com,26,7
DuckDuckGo,19,3
Bing,9,9
chatgpt.com,6,4
hpcadvisorycouncil.atlassian.net,6,2
nature.com,5,1
