time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,217,10,61,12
2025-11-26 00:00:00+00:00,579,14,53,17
2025-11-27 00:00:00+00:00,307,10,105,15
2025-11-28 00:00:00+00:00,209,11,49,24
2025-11-29 00:00:00+00:00,104,6,14,13
2025-11-30 00:00:00+00:00,7,6,27,13
2025-12-01 00:00:00+00:00,400,34,63,15
2025-12-02 00:00:00+00:00,71,23,49,12
2025-12-03 00:00:00+00:00,1728,130,37,20
2025-12-04 00:00:00+00:00,127,18,41,19
2025-12-05 00:00:00+00:00,217,31,37,20
2025-12-06 00:00:00+00:00,759,26,22,16
2025-12-07 00:00:00+00:00,15,8,8,8
2025-12-08 00:00:00+00:00,172,14,53,18
