time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,539,29,35,21
2025-10-14 00:00:00+00:00,56,24,25,16
2025-10-15 00:00:00+00:00,920,35,71,22
2025-10-16 00:00:00+00:00,1244,20,30,14
2025-10-17 00:00:00+00:00,936,31,29,20
2025-10-18 00:00:00+00:00,431,20,20,14
2025-10-19 00:00:00+00:00,24,8,34,9
2025-10-20 00:00:00+00:00,37,22,58,28
2025-10-21 00:00:00+00:00,631,30,97,30
2025-10-22 00:00:00+00:00,72,24,87,35
2025-10-23 00:00:00+00:00,186,31,74,28
2025-10-24 00:00:00+00:00,44,21,83,21
2025-10-25 00:00:00+00:00,55,24,29,14
2025-10-26 00:00:00+00:00,12,7,28,20
