referrer,views_total,views_unique
github.com,119,27
seissol.org,115,25
Google,71,26
Bing,34,7
seissol.readthedocs.io,16,5
mail.gfz-potsdam.de,9,1
DuckDuckGo,7,2
qwx1.2.onescienceway.com,6,2
wx.mail.qq.com,6,1
search.brave.com,4,2
