time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,1934,35,69,18
2025-09-03 00:00:00+00:00,378,16,68,15
2025-09-04 00:00:00+00:00,1595,35,184,31
2025-09-05 00:00:00+00:00,1201,32,38,13
2025-09-06 00:00:00+00:00,1190,28,64,12
2025-09-07 00:00:00+00:00,6,6,3,3
2025-09-08 00:00:00+00:00,1,1,62,16
2025-09-09 00:00:00+00:00,815,22,51,15
2025-09-10 00:00:00+00:00,129,12,20,9
2025-09-11 00:00:00+00:00,228,14,12,10
2025-09-12 00:00:00+00:00,23,6,28,8
2025-09-13 00:00:00+00:00,18,8,7,5
2025-09-14 00:00:00+00:00,120,11,15,11
2025-09-15 00:00:00+00:00,104,13,38,17
