referrer,views_total,views_unique
Google,152,51
seissol.org,63,26
github.com,58,23
seissol.readthedocs.io,34,5
cn.bing.com,15,3
hpcadvisorycouncil.atlassian.net,15,2
DuckDuckGo,14,2
Bing,7,7
deref-gmx.net,5,1
ecosia.org,4,1
